CustomerID	recency	frequency	monetary_value	Cancel	Promo	UK	CODE_POST	CODE_DISCOUNT	CODE_CARRIAGE	CODE_MANUAL	r_quartile	f_quartile	m_quartile	('Quantity', 'sum', 1)	('Quantity', 'sum', 2)	('Quantity', 'sum', 3)	('Quantity', 'sum', 4)	('Quantity', 'sum', 5)	('Quantity', 'sum', 6)	('Quantity', 'sum', 7)	('Quantity', 'sum', 8)	('Quantity', 'sum', 9)	('Quantity', 'sum', 10)	('Quantity', 'sum', 11)	('Quantity', 'sum', 12)	('Quantity', 'max', 1)	('Quantity', 'max', 2)	('Quantity', 'max', 3)	('Quantity', 'max', 4)	('Quantity', 'max', 5)	('Quantity', 'max', 6)	('Quantity', 'max', 7)	('Quantity', 'max', 8)	('Quantity', 'max', 9)	('Quantity', 'max', 10)	('Quantity', 'max', 11)	('Quantity', 'max', 12)	('Quantity', 'min', 1)	('Quantity', 'min', 2)	('Quantity', 'min', 3)	('Quantity', 'min', 4)	('Quantity', 'min', 5)	('Quantity', 'min', 6)	('Quantity', 'min', 7)	('Quantity', 'min', 8)	('Quantity', 'min', 9)	('Quantity', 'min', 10)	('Quantity', 'min', 11)	('Quantity', 'min', 12)	('TotalPrice', 'sum', 1)	('TotalPrice', 'sum', 2)	('TotalPrice', 'sum', 3)	('TotalPrice', 'sum', 4)	('TotalPrice', 'sum', 5)	('TotalPrice', 'sum', 6)	('TotalPrice', 'sum', 7)	('TotalPrice', 'sum', 8)	('TotalPrice', 'sum', 9)	('TotalPrice', 'sum', 10)	('TotalPrice', 'sum', 11)	('TotalPrice', 'sum', 12)	('TotalPrice', 'max', 1)	('TotalPrice', 'max', 2)	('TotalPrice', 'max', 3)	('TotalPrice', 'max', 4)	('TotalPrice', 'max', 5)	('TotalPrice', 'max', 6)	('TotalPrice', 'max', 7)	('TotalPrice', 'max', 8)	('TotalPrice', 'max', 9)	('TotalPrice', 'max', 10)	('TotalPrice', 'max', 11)	('TotalPrice', 'max', 12)	('TotalPrice', 'min', 1)	('TotalPrice', 'min', 2)	('TotalPrice', 'min', 3)	('TotalPrice', 'min', 4)	('TotalPrice', 'min', 5)	('TotalPrice', 'min', 6)	('TotalPrice', 'min', 7)	('TotalPrice', 'min', 8)	('TotalPrice', 'min', 9)	('TotalPrice', 'min', 10)	('TotalPrice', 'min', 11)	('TotalPrice', 'min', 12)	CustomerCategory
12346.0	325	2	0.0	1	0	1	0	0	0	0	4	4	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-74215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77183.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-77183.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
12347.0	2	182	4310.000000000001	0	0	0	0	0	0	0	1	1	1	315.0	0.0	0.0	483.0	0.0	196.0	0.0	277.0	0.0	676.0	0.0	511.0	24.0	0.0	0.0	240.0	0.0	36.0	0.0	36.0	0.0	48.0	0.0	36.0	3.0	0.0	0.0	3.0	0.0	2.0	0.0	3.0	0.0	2.0	0.0	3.0	475.39	0.0	0.0	636.25	0.0	382.52	0.0	584.91	0.0	1294.3200000000002	0.0	936.6099999999999	38.25	0.0	0.0	249.60000000000002	0.0	53.1	0.0	106.2	0.0	106.2	0.0	70.80000000000001	5.04	0.0	0.0	6.0	0.0	10.2	0.0	8.5	0.0	8.4	0.0	8.4	3
12348.0	75	31	1797.24	0	0	0	4	0	0	0	3	3	1	601.0	0.0	0.0	269.0	0.0	0.0	0.0	0.0	217.0	0.0	0.0	1254.0	144.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	144.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	227.43999999999997	0.0	0.0	367.0	0.0	0.0	0.0	0.0	310.0	0.0	0.0	892.8000000000001	41.76	0.0	0.0	120.0	0.0	0.0	0.0	0.0	150.0	0.0	0.0	240.0	20.4	0.0	0.0	17.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	13.200000000000001	3
12349.0	18	73	1757.5500000000002	0	0	0	1	0	0	0	2	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	631.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1757.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.64	0.0	3
12350.0	310	17	334.40000000000003	0	0	0	1	0	0	0	4	4	3	0.0	197.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	334.40000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5
12352.0	36	95	1545.4100000000005	10	0	0	5	0	0	6	2	2	2	0.0	98.0	90.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	127.0	0.0	0.0	12.0	12.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	16.0	0.0	0.0	3.0	-12.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	296.49999999999994	304.67999999999995	0.0	0.0	0.0	0.0	0.0	632.5	0.0	311.73	0.0	0.0	38.25	376.5	0.0	0.0	0.0	0.0	0.0	80.0	0.0	80.0	0.0	0.0	10.2	-376.5	0.0	0.0	0.0	0.0	0.0	9.9	0.0	10.4	0.0	3
12353.0	204	4	89.0	0	0	0	0	0	0	0	4	4	4	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5
12354.0	232	58	1079.3999999999999	0	0	0	0	0	0	0	4	2	2	0.0	0.0	0.0	530.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1079.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5
12355.0	214	13	459.4	0	0	0	0	0	0	0	4	4	3	0.0	0.0	0.0	0.0	240.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	459.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.700000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5
12356.0	22	59	2811.43	0	0	0	1	0	0	0	2	2	1	1216.0	0.0	0.0	370.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	120.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2271.6200000000003	0.0	0.0	481.46	0.0	0.0	0.0	0.0	0.0	0.0	58.349999999999994	0.0	324.0	0.0	0.0	61.199999999999996	0.0	0.0	0.0	0.0	0.0	0.0	32.849999999999994	0.0	13.200000000000001	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	0.0	25.5	0.0	3
